,.,the,",",to,of,in,and,said,a,s,for,oil,-,mln,',/,u,on,that,from,at,it,"""",is,by,tonnes,1,dlrs,be,000,was,pct,wheat,will,he,with,year,its,as,would,an,2,prices,has,not,last,(,this,were,","""
grain article340.txt,0,3,0,1,5,0,3,2,2,1,4,0,0,0,0,0,0,0,0,0,3,1,0,0,0,3,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
grain article354.txt,0,2,0,7,1,2,2,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,4,1,0,0,2,0,0,1,2,0,0,0,0,1,0,0,0,0
grain article432.txt,0,3,0,5,1,5,0,3,4,2,0,0,0,3,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
grain article355.txt,0,6,0,5,2,6,2,4,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,2,2,3,0,1,0,2,1,1,1,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0
grain article433.txt,0,6,0,2,1,4,3,2,3,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
grain article427.txt,0,12,0,6,10,5,2,0,0,6,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,2,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,1,0
grain article341.txt,0,5,0,2,4,9,3,3,6,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,3,0,0,0,4,0,1,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0
grain article369.txt,0,7,0,3,3,2,2,2,2,6,0,0,0,0,0,0,6,1,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
grain article396.txt,0,10,0,3,3,4,4,5,1,4,1,1,0,2,0,0,0,0,1,2,0,1,0,2,2,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,3,0,1,0,0,0,0
grain article382.txt,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grain article157.txt,0,11,0,2,2,1,5,4,2,1,3,0,0,3,0,0,0,1,0,0,0,1,0,5,0,3,0,0,2,0,0,0,0,1,0,1,1,0,2,0,0,1,0,0,0,0,0,2,0,0
grain article143.txt,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grain article194.txt,0,5,0,3,8,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,4,0,1,0,4,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
grain article180.txt,0,4,0,0,1,3,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
grain article023.txt,0,2,0,4,9,0,6,2,2,1,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
grain article037.txt,0,11,0,5,5,5,1,1,0,5,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,1,0,0,0,3,1,0,0,0,2,0,1,1,0,0,0,0,0
grain article221.txt,0,6,0,6,5,3,0,0,1,2,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
grain article547.txt,0,6,0,4,1,2,4,2,3,0,0,2,0,0,0,0,0,0,0,4,1,0,0,0,2,0,0,0,0,0,0,5,1,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0
grain article553.txt,0,36,0,10,11,5,9,8,4,4,4,0,0,0,0,0,0,2,0,1,2,0,0,2,1,0,0,0,4,0,1,0,8,4,5,0,0,1,3,2,1,0,1,1,0,0,0,0,0,0
grain article235.txt,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
grain article209.txt,0,8,0,2,3,1,0,1,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
grain article580.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grain article231.txt,0,3,0,2,1,0,2,2,0,2,0,0,0,1,0,0,2,0,0,0,1,2,0,0,1,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
grain article557.txt,0,13,0,7,9,6,3,5,4,2,1,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,5,0,3,1,2,1,1,0,0,3,0,0,0,0,1,0,1,1,0
grain article543.txt,0,9,0,10,8,2,2,2,7,3,3,0,0,0,0,0,3,2,4,1,2,1,0,1,1,0,0,0,1,0,0,3,2,1,1,0,1,0,2,3,2,0,1,0,1,1,0,1,0,0
grain article225.txt,0,10,0,2,10,6,7,5,0,2,1,3,0,2,0,0,2,0,2,3,1,4,0,0,1,4,0,0,2,2,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,3,0
grain article219.txt,0,11,0,6,5,8,4,4,1,4,0,0,0,1,0,0,0,1,0,1,2,1,0,0,1,0,1,0,0,10,0,4,0,0,0,0,8,1,0,0,0,0,0,0,0,7,0,2,1,0
grain article033.txt,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
grain article027.txt,0,14,0,9,6,3,3,6,2,3,4,0,0,0,0,0,1,1,0,1,2,2,0,2,2,1,0,0,4,0,0,4,1,1,0,0,0,0,0,0,1,3,1,2,0,0,0,0,1,0
grain article184.txt,0,6,0,2,2,3,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0
grain article190.txt,0,8,0,8,1,0,2,1,2,1,0,0,0,0,0,0,1,2,3,0,1,1,0,1,3,0,0,0,3,0,0,0,4,1,0,0,0,0,0,3,1,0,0,1,1,0,0,0,0,0
grain article147.txt,0,7,0,7,5,3,1,4,2,2,3,0,0,7,0,0,0,0,0,1,1,0,0,0,0,6,0,0,3,0,1,1,0,1,2,1,1,2,1,0,0,0,1,0,1,1,0,1,1,0
grain article153.txt,0,40,0,2,12,3,16,9,0,2,10,1,0,1,0,0,1,1,0,5,0,5,0,0,0,12,1,0,0,3,1,5,2,0,0,2,2,0,1,0,0,1,0,0,0,0,0,0,14,0
grain article386.txt,0,10,0,4,5,1,2,3,0,1,1,0,0,0,0,0,1,1,0,2,0,1,0,1,0,2,0,1,1,0,2,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
grain article345.txt,0,23,0,21,16,22,8,2,9,6,2,5,0,9,0,0,1,5,2,6,1,2,0,6,5,10,7,0,1,3,3,6,2,4,0,3,1,0,5,0,4,1,2,1,2,2,0,0,0,0
grain article423.txt,0,4,0,2,5,1,1,2,5,4,2,0,0,0,0,0,4,0,0,4,0,0,0,2,0,2,1,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grain article437.txt,0,18,0,14,7,5,7,11,9,10,8,0,0,9,0,0,8,3,9,1,0,0,0,1,2,8,1,2,4,1,1,0,2,2,1,3,2,1,1,0,4,0,5,3,1,1,0,6,1,0
grain article351.txt,0,30,0,6,9,4,12,5,1,6,14,1,0,1,0,0,2,2,0,1,0,2,0,0,5,11,4,0,0,3,0,2,2,0,0,0,4,1,0,0,0,2,0,0,0,0,0,0,11,0
grain article379.txt,0,1,0,6,0,1,5,0,7,1,0,0,0,12,0,0,0,0,0,3,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0
grain article378.txt,0,5,0,0,3,4,3,4,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,1,2,0,0,1,2,1,0,2,1,0,0,1,0,0,0,0,0,0,3,1,0,0,1,0,0
grain article436.txt,0,16,0,8,11,3,1,6,3,3,3,0,0,3,0,0,3,0,1,2,0,0,0,0,0,7,3,0,2,5,0,0,0,0,1,2,2,0,0,0,2,1,0,3,0,0,0,2,0,0
grain article350.txt,0,7,0,1,8,2,0,3,5,2,0,0,0,3,0,0,0,2,0,0,1,0,0,2,0,5,0,0,1,2,0,1,0,0,1,0,3,0,0,0,0,0,0,1,0,2,0,2,0,0
grain article344.txt,0,6,0,1,3,2,3,2,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0
grain article422.txt,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grain article393.txt,0,39,0,16,9,8,13,13,14,2,8,0,0,0,0,0,1,3,6,0,11,3,0,3,2,0,0,0,5,0,5,0,1,3,6,5,5,1,4,4,2,0,0,3,0,0,0,8,2,0
grain article387.txt,0,7,0,2,4,5,7,3,4,5,1,0,0,5,0,0,2,0,0,5,2,1,0,0,1,5,0,0,0,1,1,1,2,0,0,1,1,2,2,0,0,0,0,0,0,2,0,0,1,0
grain article152.txt,0,9,0,4,7,3,1,0,0,6,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0
grain article146.txt,0,3,0,8,0,2,3,2,7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0
grain article191.txt,0,2,0,3,4,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grain article185.txt,0,9,0,6,3,7,6,6,3,3,1,0,0,2,0,0,1,0,1,0,1,1,0,0,0,0,0,2,5,0,1,0,0,7,2,1,0,0,0,0,0,0,0,0,2,0,0,3,0,0
grain article026.txt,0,2,0,0,4,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grain article032.txt,0,7,0,0,3,1,3,3,1,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,2,0,1,0,0,2,0,1,1,0,1,0,0,3,1,0,1,0,0,0,0,0,0
grain article218.txt,0,9,0,5,2,0,5,1,2,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0
grain article542.txt,0,20,0,9,8,7,1,5,7,8,2,0,0,0,0,0,0,0,4,4,0,2,0,3,4,1,0,0,3,1,4,1,0,0,3,2,0,1,2,1,1,0,0,1,2,0,0,2,0,0
grain article224.txt,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0
grain article230.txt,0,9,0,4,5,3,5,7,11,3,3,0,0,2,0,0,2,3,3,0,3,2,0,3,0,2,0,0,3,0,0,0,6,4,2,1,1,1,1,3,4,0,1,0,1,1,0,0,0,0
grain article556.txt,0,9,0,4,5,4,3,4,4,1,2,0,0,0,0,0,0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,1,0,2,0,0,0,0,0,0,0
grain article581.txt,0,9,0,5,2,0,2,0,1,3,1,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
grain article226.txt,0,48,0,37,9,25,17,5,1,4,5,0,0,18,0,0,0,8,0,0,3,3,0,4,1,14,7,0,2,0,6,12,0,1,0,1,0,0,0,0,1,12,0,1,1,8,0,3,4,0
grain article540.txt,0,3,0,1,7,2,4,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,9,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
grain article554.txt,0,5,0,2,0,3,3,3,2,3,0,0,0,0,0,0,3,1,0,1,2,0,0,0,2,0,0,8,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
grain article232.txt,0,9,0,5,3,3,4,3,0,3,2,0,0,1,0,0,3,2,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0
grain article568.txt,0,27,0,11,9,2,7,2,4,5,1,0,0,2,0,0,5,0,3,0,4,0,0,0,4,2,0,1,3,1,0,0,0,0,0,0,2,0,1,9,0,0,0,0,0,0,0,0,0,0
grain article030.txt,0,4,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,1,0,3,4,1,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
grain article018.txt,0,12,0,11,7,1,5,1,9,3,7,0,0,0,0,0,3,2,0,11,3,0,0,0,0,0,0,10,0,3,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grain article193.txt,0,8,0,4,0,7,1,0,2,2,2,0,0,7,0,0,2,0,0,2,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0
grain article187.txt,0,18,0,11,5,2,3,3,4,5,6,0,0,0,0,0,0,2,0,2,2,0,0,0,1,0,1,0,0,0,0,0,8,1,0,1,0,2,1,3,0,0,0,1,0,1,0,0,0,0
grain article150.txt,0,26,0,15,10,9,14,4,5,8,6,0,0,1,0,0,0,4,5,1,0,2,0,0,2,0,0,1,1,0,4,0,0,5,5,1,0,0,3,3,0,1,3,1,2,1,0,1,0,0
grain article144.txt,0,5,0,4,0,2,1,1,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,0,0,0,1,1,2,0,0,1,1,0,0,4,1,0,0,0,0,0,0,0,0,0
grain article178.txt,0,1,0,1,0,0,5,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0
grain article391.txt,0,1,0,0,7,0,3,1,1,0,7,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,6,6,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
grain article385.txt,0,6,0,2,2,2,1,2,0,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
grain article352.txt,0,23,0,19,14,4,7,9,13,2,5,0,0,1,0,0,1,0,1,0,0,2,0,5,5,0,1,3,4,0,1,1,7,0,0,1,1,0,1,5,2,0,0,1,1,0,0,1,0,0
grain article434.txt,0,7,0,5,4,1,0,1,3,6,0,0,0,2,0,0,4,2,1,0,0,0,0,1,0,2,2,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,2,2,0
grain article420.txt,0,13,0,5,3,2,0,4,4,5,0,0,0,0,0,0,4,4,8,0,1,6,0,0,1,0,0,0,0,0,2,0,8,0,2,1,0,0,0,5,2,0,1,0,3,1,0,0,1,0
